file,speaker,segs,ref_words,wer
audio_file_017,spk_1003,2026,23234,0.1464
audio_file_022,spk_1006,1698,23016,0.1773
audio_file_008,spk_1002,1618,21158,0.1664
audio_file_019,spk_1004,1584,19262,0.1672
audio_file_011,spk_1002,1198,17946,0.1708
audio_file_014,spk_1007,1729,17797,0.2236
audio_file_016,spk_1009,1682,17497,0.1583
audio_file_010,spk_1002,1279,17427,0.1784
audio_file_020,spk_1003,1103,12403,0.2025
audio_file_004,spk_1011,875,12321,0.1645
audio_file_003,spk_1004,933,11741,0.1702
audio_file_007,spk_1005,833,11719,0.1320
audio_file_012,spk_1017,642,10049,0.4361
audio_file_012,spk_1008,584,9992,0.0959
audio_file_006,spk_1010,896,9953,0.1364
audio_file_024,spk_1014,325,9560,0.1576
audio_file_006,spk_1013,661,9245,0.1458
audio_file_001,spk_1008,667,8824,0.1116
audio_file_024,spk_1019,394,7248,0.4477
audio_file_024,spk_1018,511,7156,0.2061
audio_file_006,spk_1005,380,6430,0.1002
audio_file_004,spk_1021,424,6420,0.1762
audio_file_005,spk_1005,325,5875,0.1094
audio_file_016,spk_1016,311,5235,0.1398
audio_file_016,spk_1001,408,5147,0.2576
audio_file_024,spk_1001,365,4790,0.4102
audio_file_022,spk_1001,414,4585,0.2109
audio_file_003,spk_1012,510,4458,0.2120
audio_file_005,spk_1012,383,4320,0.1907
audio_file_013,spk_1003,363,4239,0.1932
audio_file_008,spk_1001,325,3783,0.1562
audio_file_007,spk_1001,301,3580,0.2176
audio_file_003,spk_1001,272,3408,0.2579
audio_file_006,spk_1001,251,3236,0.2120
audio_file_007,spk_1023,241,3210,0.1458
audio_file_001,spk_1004,196,3192,0.1510
audio_file_001,spk_1015,191,3152,0.2703
audio_file_005,spk_1015,152,3080,0.2425
audio_file_019,spk_1001,257,2921,0.2174
audio_file_001,spk_1001,241,2838,0.2770
audio_file_018,spk_1001,300,2699,0.3472
audio_file_005,spk_1004,242,2537,0.2948
audio_file_019,spk_1028,206,2524,0.2195
audio_file_011,spk_1001,209,2506,0.2283
audio_file_001,spk_1027,151,2467,0.1613
audio_file_007,spk_1029,278,2464,0.1445
audio_file_004,spk_1031,165,2453,0.2515
audio_file_003,spk_1030,208,2443,0.1208
audio_file_010,spk_1001,197,2306,0.2069
audio_file_018,spk_1025,128,2180,0.4216
audio_file_012,spk_1022,165,2060,0.3777
audio_file_004,spk_1001,155,1997,0.2834
audio_file_001,spk_1034,184,1910,0.2157
audio_file_007,spk_1032,196,1896,0.3581
audio_file_017,spk_1001,164,1882,0.2460
audio_file_004,spk_1037,134,1869,0.2761
audio_file_007,spk_1036,110,1857,0.1012
audio_file_020,spk_1033,115,1826,0.1851
audio_file_005,spk_1001,154,1811,0.2557
audio_file_012,spk_1001,131,1710,0.3216
audio_file_005,spk_1010,192,1681,0.3468
audio_file_003,spk_1020,141,1599,0.2527
audio_file_012,spk_1042,132,1581,0.2239
audio_file_012,spk_1039,101,1572,0.1718
audio_file_024,spk_1004,96,1559,0.1854
audio_file_001,spk_1040,98,1556,0.0835
audio_file_009,spk_1001,130,1541,0.2719
audio_file_005,spk_1043,63,1514,0.1129
audio_file_003,spk_1046,112,1486,0.2907
audio_file_014,spk_1001,119,1457,0.2141
audio_file_020,spk_1038,90,1451,0.1716
audio_file_020,spk_1015,92,1405,0.3267
audio_file_013,spk_1004,128,1387,0.2675
audio_file_020,spk_1001,138,1370,0.3504
audio_file_008,spk_1020,142,1348,0.1832
audio_file_003,spk_1016,83,1344,0.1064
audio_file_001,spk_1045,175,1334,0.1499
audio_file_024,spk_1048,99,1303,0.1650
audio_file_007,spk_1049,85,1239,0.1663
audio_file_003,spk_1002,101,1165,0.1588
audio_file_013,spk_1001,102,1147,0.2380
audio_file_002,spk_1012,97,1077,0.2674
audio_file_001,spk_1050,65,1068,0.1461
audio_file_001,spk_1016,45,982,0.1120
audio_file_010,spk_1024,98,942,0.2208
audio_file_023,spk_1001,79,930,0.2505
audio_file_006,spk_1024,109,867,0.1926
audio_file_004,spk_1017,67,823,0.1786
audio_file_002,spk_1001,68,774,0.2209
audio_file_016,spk_1047,88,772,0.5298
audio_file_011,spk_1024,102,759,0.2872
audio_file_021,spk_1001,69,752,0.2886
audio_file_007,spk_1055,72,744,0.2016
audio_file_012,spk_1020,48,698,0.2937
audio_file_008,spk_1022,68,655,0.4504
audio_file_004,spk_1020,68,654,0.3471
audio_file_013,spk_1015,42,646,0.2384
audio_file_003,spk_1056,40,586,0.1502
audio_file_007,spk_1022,62,577,0.3501
audio_file_017,spk_1025,50,575,0.3670
audio_file_003,spk_1015,24,568,0.2201
audio_file_005,spk_0057,23,556,0.0863
audio_file_007,spk_1059,42,552,0.3514
audio_file_019,spk_1035,69,526,0.1920
audio_file_019,spk_1051,49,525,0.2705
audio_file_022,spk_1035,55,476,0.2248
audio_file_019,spk_1041,40,473,0.2051
audio_file_009,spk_1004,41,469,0.3028
audio_file_023,spk_1060,27,439,0.1503
audio_file_005,spk_1053,36,438,0.3379
audio_file_003,spk_1061,33,436,0.1743
audio_file_006,spk_1004,39,407,0.2752
audio_file_023,spk_1012,31,407,0.2138
audio_file_005,spk_1063,22,394,0.1599
audio_file_013,spk_1065,26,393,0.2417
audio_file_013,spk_1066,42,391,0.1841
audio_file_007,spk_1020,35,366,0.2869
audio_file_007,spk_1004,43,353,0.3768
audio_file_017,spk_1035,44,346,0.2428
audio_file_012,spk_1021,23,345,0.2232
audio_file_024,spk_1041,37,330,0.3424
audio_file_020,spk_1025,22,329,0.4164
audio_file_005,spk_1024,27,324,0.2315
audio_file_001,spk_1068,40,319,0.2038
audio_file_014,spk_1020,29,306,0.2190
audio_file_024,spk_1035,30,298,0.3926
audio_file_011,spk_1062,35,296,0.3885
audio_file_005,spk_1058,13,293,0.1160
audio_file_014,spk_1002,28,284,0.2817
audio_file_016,spk_0067,16,256,0.3281
audio_file_006,spk_1053,25,254,0.3898
audio_file_001,spk_1070,34,251,0.3108
audio_file_009,spk_1022,20,251,0.2151
audio_file_017,spk_1041,26,246,0.2236
audio_file_018,spk_1020,24,239,0.2594
audio_file_019,spk_1054,26,239,0.1381
audio_file_001,spk_1071,20,233,0.2876
audio_file_020,spk_1044,17,233,0.9785
audio_file_011,spk_1073,14,224,0.1786
audio_file_016,spk_1069,29,222,0.4685
audio_file_011,spk_1064,26,220,0.4045
audio_file_019,spk_1011,12,217,0.3641
audio_file_024,spk_1003,13,217,0.7235
audio_file_001,spk_1058,11,214,0.1589
audio_file_020,spk_1035,23,193,0.2902
audio_file_018,spk_1047,18,191,0.7016
audio_file_009,spk_1077,7,185,0.2595
audio_file_009,spk_1010,13,184,0.3261
audio_file_021,spk_1002,17,183,0.2951
audio_file_010,spk_1080,21,174,0.3851
audio_file_017,spk_1006,21,170,0.1176
audio_file_008,spk_1027,15,169,0.3432
audio_file_017,spk_1051,20,165,0.3939
audio_file_007,spk_1012,14,164,0.5366
audio_file_004,spk_1022,14,160,0.5437
audio_file_021,spk_1004,20,160,0.4313
audio_file_016,spk_1078,16,158,0.3671
audio_file_022,spk_1041,20,158,0.4494
audio_file_023,spk_1041,7,154,0.1818
audio_file_009,spk_0076,14,144,0.5069
audio_file_010,spk_1064,15,137,0.2409
audio_file_005,spk_1082,12,135,0.5778
audio_file_022,spk_1054,20,135,0.3926
audio_file_023,spk_1026,9,130,0.3385
audio_file_020,spk_1054,14,129,0.2481
audio_file_001,spk_1012,16,128,0.2422
audio_file_007,spk_1027,6,128,0.0703
audio_file_008,spk_1047,18,120,0.5250
audio_file_012,spk_1083,6,119,0.1176
audio_file_024,spk_1090,13,115,0.4261
audio_file_023,spk_1086,5,114,0.1316
audio_file_011,spk_1084,8,113,0.3186
audio_file_012,spk_1085,6,113,0.2301
audio_file_012,spk_0074,6,112,0.3125
audio_file_017,spk_1054,13,108,0.4167
audio_file_001,spk_1091,18,103,0.3883
audio_file_001,spk_1002,10,102,0.5098
audio_file_008,spk_1005,11,102,0.6078
audio_file_009,spk_1072,8,102,0.3039
audio_file_014,spk_1004,13,101,0.4752
audio_file_002,spk_1041,10,100,0.1100
audio_file_006,spk_1012,9,100,0.3900
audio_file_010,spk_1101,9,97,0.4639
audio_file_017,spk_1075,11,97,0.6289
audio_file_008,spk_1072,12,95,0.2211
audio_file_009,spk_1094,8,95,0.6421
audio_file_021,spk_1046,3,93,0.2366
audio_file_020,spk_1041,10,90,0.2667
audio_file_021,spk_1030,6,90,0.3889
audio_file_022,spk_1012,9,90,0.4000
audio_file_022,spk_1051,12,89,0.5281
audio_file_010,spk_1062,12,88,0.7955
audio_file_017,spk_1011,6,88,0.5568
audio_file_017,spk_1092,8,87,0.4253
audio_file_013,spk_1051,8,86,0.4884
audio_file_007,spk_1047,7,85,0.2941
audio_file_008,spk_1004,5,84,0.3810
audio_file_001,spk_1053,8,83,0.3735
audio_file_003,spk_1047,9,83,0.6145
audio_file_014,spk_1026,6,83,0.1084
audio_file_016,spk_1097,9,79,0.5190
audio_file_022,spk_1093,8,79,0.5190
audio_file_023,spk_1095,6,79,0.4810
audio_file_019,spk_1003,6,78,0.4231
audio_file_016,spk_1002,8,76,0.3553
audio_file_008,spk_1088,7,73,0.3014
audio_file_009,spk_1096,3,73,0.1370
audio_file_012,spk_1040,3,72,0.3472
audio_file_012,spk_1047,11,71,0.7465
audio_file_008,spk_1006,10,69,0.8551
audio_file_010,spk_1087,7,68,0.3676
audio_file_020,spk_0052,6,68,1.0147
audio_file_016,spk_1004,7,67,0.4478
audio_file_020,spk_1051,7,62,0.3871
audio_file_023,spk_1021,6,58,0.3793
audio_file_008,spk_1081,6,57,0.2632
audio_file_013,spk_1098,4,55,0.5455
audio_file_016,spk_1012,5,55,0.4545
audio_file_020,spk_1075,4,55,0.5273
audio_file_024,spk_1103,4,55,0.3818
audio_file_002,spk_1060,3,53,0.1887
audio_file_005,spk_1013,5,53,0.1509
audio_file_021,spk_1104,6,52,0.2692
audio_file_024,spk_1012,5,50,0.3800
audio_file_004,spk_1008,2,48,0.1250
audio_file_017,spk_1015,4,48,0.6042
audio_file_004,spk_1054,5,47,0.4043
audio_file_004,spk_1039,2,46,0.2826
audio_file_017,spk_0074,2,45,0.1778
audio_file_024,spk_1005,3,45,0.2444
audio_file_016,spk_1105,6,44,0.3636
audio_file_020,spk_1028,5,42,0.8095
audio_file_020,spk_1106,3,40,0.7250
audio_file_023,spk_1102,3,39,0.2051
audio_file_009,spk_1029,1,38,0.1316
audio_file_022,spk_1011,2,38,0.9474
audio_file_024,spk_1099,5,38,0.8158
audio_file_019,spk_0067,3,37,0.7297
audio_file_001,spk_1081,7,36,0.7500
audio_file_006,spk_1058,2,36,0.2222
audio_file_016,spk_0057,3,36,0.4722
audio_file_011,spk_1087,1,35,0.3143
audio_file_022,spk_1108,3,35,0.4571
audio_file_005,spk_0115,4,32,0.4688
audio_file_007,spk_0067,5,30,0.8333
audio_file_007,spk_1113,2,30,0.2667
audio_file_008,spk_1007,2,30,0.2333
audio_file_019,spk_1025,2,30,0.1333
audio_file_022,spk_0100,1,30,0.4333
audio_file_007,spk_1088,4,28,0.5714
audio_file_018,spk_1004,3,27,0.2222
audio_file_004,spk_1058,1,25,0.2000
audio_file_008,spk_0067,2,25,0.5200
audio_file_016,spk_1114,1,25,0.6000
audio_file_023,spk_0112,1,25,0.4400
audio_file_001,spk_0100,2,24,0.4583
audio_file_009,spk_1005,1,23,0.0870
audio_file_018,spk_0107,1,22,0.2727
audio_file_001,spk_0109,1,20,0.2500
audio_file_001,spk_0116,2,20,0.0500
audio_file_019,spk_1017,1,20,0.1000
audio_file_023,spk_1087,3,20,0.5500
audio_file_008,spk_1111,4,19,1.2632
audio_file_020,spk_1004,2,19,0.3158
audio_file_024,spk_0057,2,18,0.3889
audio_file_012,spk_0057,1,17,0.2941
audio_file_017,spk_1004,3,17,0.6471
audio_file_010,spk_1117,2,16,0.4375
audio_file_022,spk_1118,2,16,1.0000
audio_file_002,spk_1026,1,15,1.0000
audio_file_006,spk_1054,2,15,0.6000
audio_file_021,spk_1015,1,15,0.2000
audio_file_008,spk_0074,1,13,0.0769
audio_file_012,spk_1054,2,12,0.4167
audio_file_023,spk_1004,1,12,0.6667
audio_file_023,spk_1039,1,12,0.1667
audio_file_006,spk_0074,1,11,1.0000
audio_file_014,spk_1006,1,11,0.5455
audio_file_016,spk_1005,1,10,0.0000
audio_file_024,spk_1088,1,10,0.4000
audio_file_013,spk_1054,1,9,0.2222
audio_file_003,spk_1054,1,8,1.1250
audio_file_024,spk_0107,2,8,0.8750
audio_file_024,spk_1054,1,8,0.6250
audio_file_004,spk_1040,1,7,0.4286
audio_file_012,spk_0107,1,7,0.1429
audio_file_012,spk_0067,1,7,0.7143
audio_file_017,spk_1033,1,7,0.5714
audio_file_014,spk_1119,1,6,0.5000
audio_file_006,spk_1056,1,5,1.4000
audio_file_007,spk_1006,1,4,1.0000
audio_file_020,spk_0120,1,4,1.2500
audio_file_011,spk_1122,1,3,1.6667
audio_file_014,spk_0121,1,3,1.3333
audio_file_016,spk_0123,1,3,2.3333
audio_file_003,spk_0121,1,2,1.0000
